,,,,,,,,,,,,,,,,
芯一级发动机,图片,推进剂,研制单位,海平面推力(kN),有效喷气速度(m/s),启动次数,发动机重量,推重比,推力调节范围,最大摇摆角度,使用型号,现有成组方式,750t所需数量,7500t所需数量,链接,
Raptor 2,,液氧+甲烷,SpaceX,2000,3273,＞3,1500,,20%-100%,,星舰,33 ,,,SpaceX - Starship,
Merlin 1D++,,液氧+煤油,SpaceX,903,2842,＞3,,,57%-100%,,猎鹰9,9 ,,,SpaceX - Falcon 9,
YF-21C,,四氧化二氮+偏二甲肼,航天六院,2960,2538.2,1,2850,100,不可调节,±10°,长征二/三/四号,,,,https://sat.huijiwiki.com/wiki/YF-21C,
YF-77,,液氧+液氢,"航天六院
101所",518,3103.66,1,1375,38,不可调节,±8°,长征五号,,,,YF-77 - 卫星百科，很认真的中文航天百科 - 灰机wiki - 北京嘉闻杰诺网络科技有限公司,
YF-100,,液氧+煤油,西安航天动力研究所,1200,2940,1,1900,,65%～105%,±8°,"长征五助推器
长征六/七/八",,,,YF-100 - 卫星百科，很认真的中文航天百科 - 灰机wiki - 北京嘉闻杰诺网络科技有限公司,
YF-102,,液氧+煤油,航天六院商业发动机公司,835,2695,2,,>130,55%-100%,±6°,"力箭二号
天龙二号",,11 ,106 ,https://news.cnr.cn/native/gd/20230422/t20230422_526227651.shtml,
YF-130,,液氧+煤油,航天六院,5000,,,＞6000,＞73,,,长征九号（2011）,,,,,在研，长征九号预计2028年发射被取消
YF-209,,液氧+甲烷,航天六院,1372,2871.4,＜4,,90,27%-108%,±8°,"长征十二号甲(二级)
跃迁一号（在研）",,,,,
YF-215,,液氧+甲烷,航天六院,2000,3126.2,,,,25%-110%,,长征九号（论证）,,4 ,44 ,我国液氧甲烷发动机技术发展概述,
YF-100K,,液氧+液氢,航天六院,1250,2958,1,,70.1,65%-105%,±8°,"长征十号甲（载人）
长征十号乙（载货）",7 ,7 ,71 ,YF-100K - 卫星百科，很认真的中文航天百科 - 灰机wiki - 北京嘉闻杰诺网络科技有限公司,"YF-100J：泵后单向摇摆
YF-100K：泵后双向摇摆±8°[1]
YF-100L：不具备摇摆能力
基于YF-100K研制的高空型发动机YF-100M
具备2次点火能力、简易维护快速发射能力、能够复用飞行10次以上的可回收发动机YF-100N
"
YF-100N,,液氧+煤油,航天六院,1250,2958,2,,70.1,65%-105%,±8°,长征十号甲（载人）,7 ,7 ,71 ,https://sat.huijiwiki.com/wiki/YF-100N,
"天鹊-12A 
(TQ-12A)",,液氧+甲烷,蓝箭航天,720,2840,＞2,<700 kg,105,45%-111%,±4°,朱雀三号(遥一),,12 ,123 ,https://www.landspace.com/product.html?mao=1,朱雀三号可复用火箭十公里级垂直起降飞行试验任务圆满成功！
"天鹊-12B
 (TQ-12B)",,液氧+甲烷,蓝箭航天,1000,,＞2,,>160,,,朱雀三号,9 ,9 ,88 ,,
"天火-12 
(TH-12)",,液氧+煤油,天兵科技,950,2779,4,571,163,50%-110%,,"天龙二号
天龙三号",9,9 ,93 ,https://www.spacepioneer.cc/tianhuo/TH12,
"天火-12V
(TH-12V)",,液氧+煤油,天兵科技,1122,2818,2,<700,115,,,天龙三号（二级）,1,8 ,79 ,https://www.spacepioneer.cc/tianhuo/TH12V,
"焦点二号
(JD-2)",,液氧+甲烷,星际荣耀,850,2832,＞3,＜867 kg,100,35%-115%,,双曲线三号,9 ,10 ,104 ,https://www.i-space.com.cn/products,
"苍穹
(CQ-50)",,液氧+煤油,星河动力,500,2597,,,,,,智神星一号,7 ,18 ,176 ,https://www.galactic-energy.cn/index.php/List/cid/5,
"力擎二号
(玄鸢二号)",,液氧+煤油,中科宇航,1078,2665.6,3,,,50%-100%,,力箭二号(后续),,,,https://mp.weixin.qq.com/s/oWlHGRyxxYl6PZGNNHwceA,
原力-110,,液氧+煤油,东方空间,1078,2793,,,170,40%-110%,,"引力二号
引力三号",9 ,8 ,82 ,东方空间,
深蓝雷霆RS,,液氧+煤油,深蓝航天,1240,,3,,,50%-110%,,星云一号,9 ,7 ,71 ,深蓝航天,
龙云,,液氧+甲烷,九州箭云,676,2842,＞3,≯850kg,±8°,32%-106%,,元行者一号,9 ,13 ,130 ,龙云发动机_九州云箭（北京）空间科技有限公司,
跃迁-1号发动机,,,大航跃迁,,,,,,,,跃迁一号,7 ,,,,
YS-20,,,宇石空间,,,,,,,,宇石一号,5 ,,,,
,,,,,,,,,,,,,,,,
